Datetime,H1,H2,H3,H4,H5,H6,H7,H8,H10,H11,H12,H13,H14,H15,H16,H17,H18,H20
2014-10-25 16:45:00,0.823,0.416,0.198,0.518,0.514,0.096,1.346,0.807,0.336,0.1,1.32,2.225,0.823,0.514,0.279,1.372,0.229,0.282
2014-10-25 17:00:00,0.223,0.382,0.148,0.141,0.534,0.106,0.686,0.405,0.37,0.11,1.529,0.889,0.223,0.534,0.123,1.826,0.376,0.43
2014-10-25 17:15:00,0.328,0.351,0.262,0.206,0.581,0.116,0.286,0.314,0.486,0.222,1.183,0.447,0.328,0.581,0.143,2.102,0.491,0.409
2014-10-25 17:30:00,0.19,0.351,0.134,0.12,0.394,0.254,0.726,0.49,0.63,0.186,1.353,2.296,0.19,0.394,0.491,1.927,0.492,0.364
2014-10-25 17:45:00,0.819,0.502,0.191,0.516,0.417,0.162,1.46,0.416,1.671,0.074,1.025,2.339,0.819,0.417,1.737,1.474,0.712,0.375
2014-10-25 18:00:00,1.107,0.473,0.211,0.698,0.801,0.146,1.861,0.427,1.688,0.961,0.862,0.475,1.107,0.801,0.731,0.851,0.763,0.538
2014-10-25 18:15:00,0.834,0.371,0.243,0.525,0.324,0.198,0.387,0.424,1.246,0.106,1.28,0.602,0.834,0.324,1.714,2.228,0.776,0.435
2014-10-25 18:30:00,0.668,0.372,0.257,0.421,0.184,0.776,0.412,0.399,0.531,0.162,1.986,0.777,0.668,0.184,0.748,1.529,0.81,0.286
2014-10-25 18:45:00,0.174,1.549,0.169,0.11,0.444,2.347,0.466,0.43,0.458,0.056,1.274,0.696,0.174,0.444,3.551,1.989,0.885,0.282
2014-10-25 19:00:00,0.174,1.745,0.268,0.11,2.136,0.412,0.397,0.213,0.357,0.056,1.005,0.711,0.174,2.136,3.608,1.153,0.738,0.361
2014-10-25 19:15:00,0.336,0.382,0.293,0.211,1.405,1.506,0.303,0.207,0.183,0.052,1.744,0.716,0.336,1.405,3.791,0.961,0.479,1.764
2014-10-25 19:30:00,0.441,0.384,0.444,0.278,0.718,0.992,0.177,0.254,0.316,0.196,1.55,0.73,0.441,0.718,0.497,0.994,0.654,1.458
2014-10-25 19:45:00,0.466,0.461,1.117,0.293,0.901,0.583,0.182,0.457,0.308,0.111,1.279,0.83,0.466,0.901,0.103,1.319,0.788,0.754
2014-10-25 20:00:00,0.683,0.26,1.006,0.43,0.932,0.399,1.596,0.221,0.183,0.674,1.057,1.01,0.683,0.932,0.094,1.173,0.661,0.871
2014-10-25 20:15:00,2.747,0.229,0.995,1.73,0.65,0.501,2.23,1.413,0.183,0.451,5.593,1.054,2.747,0.65,0.321,3.295,0.841,1.38
2014-10-25 20:30:00,0.937,0.161,0.197,0.59,0.577,0.311,2.847,0.98,0.266,0.353,4.419,0.815,0.937,0.577,1.542,4.253,0.983,0.592
2014-10-25 20:45:00,0.465,0.263,0.431,0.293,0.945,0.263,0.676,0.693,0.355,0.372,4.873,0.938,0.465,0.945,0.362,2.29,0.968,0.471
2014-10-25 21:00:00,0.536,0.233,0.327,0.338,0.947,0.175,0.371,0.125,0.183,0.388,7.291,0.601,0.536,0.947,0.368,2.202,0.745,0.381
2014-10-25 21:15:00,0.613,0.247,0.397,0.386,0.66,0.203,0.491,2.02,0.193,0.383,8.068,0.612,0.613,0.66,2.838,0.817,1.733,0.427
2014-10-25 21:30:00,0.747,0.182,0.316,0.471,0.418,0.058,0.466,3.981,0.186,0.375,7.712,0.628,0.747,0.418,3.666,0.591,1.466,1.296
2014-10-25 21:45:00,0.419,0.243,0.471,0.264,0.625,0.051,0.466,4.015,0.435,0.524,1.422,0.84,0.419,0.625,3.487,0.591,1.664,1.096
2014-10-25 22:00:00,0.294,0.161,0.317,0.185,0.668,0.045,0.602,1.471,0.185,0.408,1.666,0.689,0.294,0.668,0.32,1.144,1.157,0.759
2014-10-25 22:15:00,0.313,0.308,0.395,0.197,0.735,0.142,0.362,0.444,0.183,0.375,1.352,0.732,0.313,0.735,0.342,1.103,0.976,0.335
2014-10-25 22:30:00,0.41,0.203,0.319,0.259,0.474,0.096,0.322,0.471,0.183,0.383,1.763,0.882,0.41,0.474,0.324,0.593,1.0,0.342
2014-10-25 22:45:00,0.068,0.225,0.396,0.043,0.555,0.041,0.395,0.67,0.328,0.381,1.514,0.858,0.068,0.555,0.235,0.638,0.954,0.175
2014-10-25 23:00:00,0.054,0.041,0.382,0.034,0.695,0.041,0.327,0.393,0.297,0.223,2.004,0.559,0.054,0.695,0.069,1.052,0.91,0.169
2014-10-25 23:15:00,0.054,0.124,0.386,0.034,0.681,0.091,0.202,0.284,0.183,0.165,1.233,0.27,0.054,0.681,0.195,0.782,0.824,0.339
2014-10-25 23:30:00,0.254,0.141,0.349,0.16,0.527,0.151,0.135,0.282,0.183,0.165,1.161,0.447,0.254,0.527,0.084,0.484,1.09,0.396
2014-10-25 23:45:00,0.152,0.116,0.319,0.096,0.436,0.041,0.057,0.348,0.332,0.175,0.903,0.469,0.152,0.436,0.242,0.729,1.03,0.277
2014-10-26 00:00:00,0.102,0.041,0.503,0.064,0.308,0.041,0.211,0.226,0.626,0.321,1.842,0.477,0.102,0.308,0.069,0.649,1.056,0.325
2014-10-26 00:15:00,0.256,0.091,0.219,0.161,0.299,0.041,0.061,0.25,0.412,0.092,1.885,0.345,0.256,0.299,0.164,0.794,0.897,0.282
2014-10-26 00:30:00,0.321,0.149,0.106,0.202,0.24,0.168,0.057,0.259,0.411,0.045,1.59,0.254,0.321,0.24,0.089,0.56,1.172,0.312
2014-10-26 00:45:00,0.332,0.138,0.049,0.209,0.209,0.074,0.057,0.197,0.329,0.045,1.268,0.254,0.332,0.209,0.154,0.691,0.634,0.128
2014-10-26 01:00:00,0.222,0.041,0.703,0.14,0.22,0.041,0.162,0.062,0.479,0.108,1.466,0.379,0.222,0.22,0.154,0.217,0.346,0.128
2014-10-26 01:15:00,0.361,0.07,1.34,0.227,0.557,0.041,0.109,0.147,0.347,0.149,1.406,0.333,0.361,0.557,0.076,0.219,0.419,0.137
2014-10-26 01:30:00,0.18,0.166,1.586,0.113,0.378,0.078,0.057,0.273,0.272,0.045,0.94,0.074,0.18,0.378,0.164,0.294,0.356,0.289
